,Movie_name,Year,Rating(%),Directed By
221,Traffic,(2000),93%,Steven Soderbergh
222,Invasion of the Body Snatchers,(1956),97%,Don Siegel
223,Thor: Ragnarok,(2017),93%,Taika Waititi
224,The Odd Couple,(1968),97%,Gene Saks
225,Bride of Frankenstein,(1935),98%,James Whale
226,What's Love Got to Do With It,(1993),97%,Brian Gibson
227,Star Wars: The Force Awakens,(2015),93%,J.J. Abrams
228,Roman Holiday,(1953),96%,William Wyler
229,Amélie,(2001),90%,Jean-Pierre Jeunet
230,To Be or Not to Be,(1942),96%,Ernst Lubitsch
231,All the President's Men,(1976),94%,Alan J. Pakula
232,Throne of Blood,(1957),96%,Akira Kurosawa
233,Taxi Driver,(1976),89%,Martin Scorsese
234,The Big Sleep,(1946),96%,Howard Hawks
235,Marvel's the Avengers,(2012),91%,Joss Whedon
236,Secrets & Lies,(1996),96%,Mike Leigh
237,Dog Day Afternoon,(1975),96%,Sidney Lumet
238,Being There,(1979),95%,Hal Ashby
239,Aguirre: The Wrath of God,(1972),96%,Werner Herzog
240,Arrival,(2016),94%,Denis Villeneuve
241,Wings of Desire,(1987),95%,Wim Wenders
242,Raging Bull,(1980),92%,Martin Scorsese
243,Fruitvale Station,(2013),94%,Ryan Coogler
244,La Dolce Vita,(1960),95%,Federico Fellini
245,Beauty and the Beast,(1946),96%,Jean Cocteau
246,The Killing,(1956),96%,Stanley Kubrick
247,The Rules of the Game,(1939),97%,Jean Renoir
248,Eyes Without a Face,(1960),97%,Georges Franju
249,The Cabinet of Dr. Caligari,(1919),96%,Robert Wiene
250,L.A. Confidential,(1997),99%,Curtis Hanson
251,The Godfather,(1972),97%,Francis Ford Coppola
252,Casablanca,(1942),99%,Michael Curtiz
253,Seven Samurai,(1954),100%,Akira Kurosawa
254,Parasite,(2019),99%,Bong Joon Ho
255,Schindler's List,(1993),98%,Steven Spielberg
256,Top Gun: Maverick,(2022),96%,Joseph Kosinski
257,Toy Story 2,(1999),100%,Ash Brannon
258,Chinatown,(1974),98%,Roman Polanski
259,On the Waterfront,(1954),99%,Elia Kazan
260,The Battle of Algiers,(1966),99%,Gillo Pontecorvo
261,Toy Story,(1995),100%,John Lasseter
262,Rear Window,(1954),98%,Alfred Hitchcock
263,Modern Times,(1936),98%,Charlie Chaplin
264,How to Train Your Dragon,(2010),99%,Christopher Sanders
265,All About Eve,(1950),99%,Joseph L. Mankiewicz
266,Spirited Away,(2001),96%,Hayao Miyazaki
267,Up,(2009),98%,Pete Docter
268,The Third Man,(1949),99%,Carol Reed
269,Spotlight,(2015),97%,Tom McCarthy
270,Spider-Man: Into the Spider-Verse,(2018),97%,Bob Persichetti
271,The Philadelphia Story,(1940),100%,George Cukor
272,Finding Nemo,(2003),99%,Andrew Stanton
273,Singin' in the Rain,(1952),100%,Stanley Donen
274,12 Angry Men,(1957),100%,Sidney Lumet
275,Toy Story 3,(2010),98%,Lee Unkrich
276,Sunset Boulevard,(1950),98%,Billy Wilder
277,Coco,(2017),97%,Lee Unkrich
278,"The Godfather, Part II",(1974),96%,Francis Ford Coppola
279,Three Colors: Red,(1994),100%,Krzysztof Kieslowski
280,Selma,(2014),99%,Ava DuVernay
281,Zootopia,(2016),98%,Byron Howard
282,Citizen Kane,(1941),99%,Orson Welles
283,Annie Hall,(1977),97%,Woody Allen
284,Cool Hand Luke,(1967),100%,Stuart Rosenberg
285,The Holdovers,(2023),97%,Alexander Payne
286,Inside Out,(2015),98%,Pete Docter
287,Dr. Strangelove Or: How I Learned to Stop Worrying and Love the Bomb,(1964),98%,Stanley Kubrick
288,Let the Right One In,(2008),98%,Tomas Alfredson
289,The Lord of the Rings: The Two Towers,(2002),95%,Peter Jackson
290,Knives Out,(2019),97%,Rian Johnson
291,M,(1931),100%,Fritz Lang
292,Toy Story 4,(2019),97%,Josh Cooley
293,The Wrestler,(2008),99%,Darren Aronofsky
294,Goodfellas,(1990),94%,Martin Scorsese
295,The Wizard of Oz,(1939),98%,Victor Fleming
296,Double Indemnity,(1944),97%,Billy Wilder
297,Psycho,(1960),97%,Alfred Hitchcock
298,Paddington 2,(2017),99%,Paul King
299,Before Sunrise,(1995),100%,Richard Linklater
